event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2011by,55705.0040,13.911,0.031,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55705.0072,13.417,0.032,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55705.14,13.71,0.07,,H,,PAIRITEL,2015ApJS..220....9F
SN2011by,55705.14,15.13,0.15,,J,,PAIRITEL,2015ApJS..220....9F
SN2011by,55705.2697,17.270,0.095,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55705.2776,17.916,0.100,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55705.2838,16.021,0.078,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55706.25,13.73,0.25,,H,,PAIRITEL,2015ApJS..220....9F
SN2011by,55706.25,15.22,0.15,,J,,PAIRITEL,2015ApJS..220....9F
SN2011by,55707.17,13.61,0.17,,H,,PAIRITEL,2015ApJS..220....9F
SN2011by,55707.17,15.1,0.14,,J,,PAIRITEL,2015ApJS..220....9F
SN2011by,55707.17,14.01,0.18,,Ks,,PAIRITEL,2015ApJS..220....9F
SN2011by,55707.4751,14.608,0.041,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55707.4771,14.228,0.033,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55707.4806,13.588,0.033,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55707.5433,17.714,0.107,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55707.5510,18.399,0.121,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55707.5573,16.210,0.079,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55708.16,13.65,0.07,,H,,PAIRITEL,2015ApJS..220....9F
SN2011by,55708.16,15.04,0.17,,J,,PAIRITEL,2015ApJS..220....9F
SN2011by,55709.16,13.59,0.25,,H,,PAIRITEL,2015ApJS..220....9F
SN2011by,55709.16,15.06,0.15,,J,,PAIRITEL,2015ApJS..220....9F
SN2011by,55709.6809,14.970,0.049,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55709.6828,14.486,0.034,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55709.6862,13.742,0.034,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55709.7817,18.005,0.111,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55709.7867,18.600,0.124,,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55709.7909,16.505,0.078,,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55710.16,13.59,0.18,,H,,PAIRITEL,2015ApJS..220....9F
SN2011by,55710.16,14.89,0.14,,J,,PAIRITEL,2015ApJS..220....9F
SN2011by,55710.16,13.8,0.25,,Ks,,PAIRITEL,2015ApJS..220....9F
SN2011by,55711.17,13.56,0.08,,H,,PAIRITEL,2015ApJS..220....9F
SN2011by,55711.17,14.93,0.04,,J,,PAIRITEL,2015ApJS..220....9F
SN2011by,55711.2197,15.148,0.053,,U,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55711.2217,14.632,0.036,,B,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55711.2232,13.778,0.042,,V,UVOT,Swift,2014Ap&SS.354...89B
SN2011by,55711.3208,17.989,0.103,,UVW2,UVOT,Swift,2014Ap&SS.354...89B
