#CfA3-era Type II SN Natural System Light Curves
#Name	  Band	MJD	     N  NatMag  dMag   Campaign  Camera
SN2002em  R	52580.46965  1  18.748  0.052  CfA3  4SH
SN2002em  R	52614.33774  1  18.755  0.035  CfA3  4SH
SN2002em  R	52633.35351  1  19.095  0.096  CfA3  4SH
SN2002em  R	52635.27550  1  19.340  0.060  CfA3  4SH
SN2002em  I	52579.39655  1  18.212  0.057  CfA3  4SH
SN2002em  I	52580.47141  1  18.193  0.054  CfA3  4SH
SN2002em  I	52614.33953  1  18.264  0.047  CfA3  4SH
SN2002em  I	52633.35528  1  18.784  0.142  CfA3  4SH
SN2002em  I	52635.27728  1  18.873  0.074  CfA3  4SH
SN2005kd  U	53689.33803  1  14.868  0.034  CfA3  KEP
SN2005kd  U	53689.34167  1  14.866  0.034  CfA3  KEP
SN2005kd  U	53689.38046  1  14.884  0.042  CfA3  KEP
SN2005kd  U	53689.38410  1  14.826  0.041  CfA3  KEP
SN2005kd  U	53691.41601  1  14.604  0.043  CfA3  KEP
SN2005kd  U	53692.41859  1  14.535  0.031  CfA3  KEP
SN2005kd  U	53692.42223  1  14.546  0.033  CfA3  KEP
SN2005kd  U	53692.43525  1  14.527  0.033  CfA3  KEP
SN2005kd  U	53692.43890  1  14.526  0.033  CfA3  KEP
SN2005kd  U	53693.42846  1  14.510  0.032  CfA3  KEP
SN2005kd  U	53693.43209  1  14.514  0.032  CfA3  KEP
SN2005kd  U	53695.42502  1  14.536  0.032  CfA3  KEP
SN2005kd  U	53695.42867  1  14.526  0.032  CfA3  KEP
SN2005kd  U	53696.41770  1  14.587  0.028  CfA3  KEP
SN2005kd  U	53696.42133  1  14.583  0.029  CfA3  KEP
SN2005kd  U	53714.19404  1  15.164  0.041  CfA3  KEP
SN2005kd  U	53724.32794  1  15.461  0.031  CfA3  KEP
SN2005kd  U	53730.36661  1  15.625  0.032  CfA3  KEP
SN2005kd  U	53730.37026  1  15.586  0.026  CfA3  KEP
SN2005kd  U	53764.29051  1  15.789  0.024  CfA3  KEP
SN2005kd  U	53764.29414  1  15.793  0.025  CfA3  KEP
SN2005kd  U	53766.33279  1  15.842  0.027  CfA3  KEP
SN2005kd  U	53766.33642  1  15.820  0.028  CfA3  KEP
SN2005kd  U	53781.25210  1  15.881  0.041  CfA3  KEP
SN2005kd  U	53781.25574  1  15.871  0.041  CfA3  KEP
SN2005kd  U	53786.21138  1  15.868  0.028  CfA3  KEP
SN2005kd  U	53786.21501  1  15.820  0.029  CfA3  KEP
SN2005kd  U	53787.12116  1  15.864  0.030  CfA3  KEP
SN2005kd  U	53787.12479  1  15.861  0.030  CfA3  KEP
SN2005kd  U	53827.14542  1  15.804  0.027  CfA3  KEP
SN2005kd  U	53827.14906  1  15.821  0.033  CfA3  KEP
SN2005kd  U	54008.48542  1  16.427  0.036  CfA3  KEP
SN2005kd  U	54008.48904  1  16.434  0.037  CfA3  KEP
SN2005kd  U	54009.43465  1  16.520  0.037  CfA3  KEP
SN2005kd  U	54009.43830  1  16.543  0.032  CfA3  KEP
SN2005kd  U	54011.42245  1  16.508  0.036  CfA3  KEP
SN2005kd  U	54011.42610  1  16.593  0.032  CfA3  KEP
SN2005kd  B	53689.33500  1  15.697  0.017  CfA3  KEP
SN2005kd  B	53691.42341  1  15.360  0.015  CfA3  KEP
SN2005kd  B	53692.42599  1  15.300  0.017  CfA3  KEP
SN2005kd  B	53692.44266  1  15.307  0.017  CfA3  KEP
SN2005kd  B	53693.43587  1  15.264  0.021  CfA3  KEP
SN2005kd  B	53694.42263  1  15.205  0.013  CfA3  KEP
SN2005kd  B	53695.43244  1  15.229  0.018  CfA3  KEP
SN2005kd  B	53696.42510  1  15.233  0.016  CfA3  KEP
SN2005kd  B	53713.16311  1  15.513  0.025  CfA3  KEP
SN2005kd  B	53714.19098  1  15.512  0.015  CfA3  KEP
SN2005kd  B	53730.36355  1  15.828  0.016  CfA3  KEP
SN2005kd  B	53764.28748  1  16.049  0.013  CfA3  KEP
SN2005kd  B	53766.32972  1  16.056  0.014  CfA3  KEP
SN2005kd  B	53781.24836  1  16.113  0.019  CfA3  KEP
SN2005kd  B	53786.21878  1  16.078  0.013  CfA3  KEP
SN2005kd  B	53787.11742  1  16.094  0.014  CfA3  KEP
SN2005kd  B	53800.14911  1  16.145  0.020  CfA3  KEP
SN2005kd  B	53827.15285  1  16.087  0.013  CfA3  KEP
SN2005kd  B	53834.13402  1  16.065  0.016  CfA3  KEP
SN2005kd  B	53998.49172  1  16.762  0.017  CfA3  KEP
SN2005kd  B	54007.44484  1  16.845  0.015  CfA3  KEP
SN2005kd  B	54008.48168  1  16.850  0.015  CfA3  KEP
SN2005kd  B	54009.43091  1  16.861  0.016  CfA3  KEP
SN2005kd  B	54011.41871  1  16.877  0.014  CfA3  KEP
SN2005kd  B	54012.41875  1  16.898  0.019  CfA3  KEP
SN2005kd  B	54051.39514  1  17.328  0.019  CfA3  KEP
SN2005kd  B	54089.39657  1  17.923  0.024  CfA3  KEP
SN2005kd  B	54100.18219  1  18.073  0.047  CfA3  KEP
SN2005kd  B	54102.20887  1  18.329  0.102  CfA3  KEP
SN2005kd  B	54117.23308  1  18.531  0.034  CfA3  KEP
SN2005kd  B	54139.16738  1  19.014  0.056  CfA3  KEP
SN2005kd  B	54140.21927  1  18.990  0.040  CfA3  KEP
SN2005kd  B	54149.13194  1  19.421  0.059  CfA3  KEP
SN2005kd  B	54153.11871  1  19.242  0.063  CfA3  KEP
SN2005kd  B	54161.12708  1  19.597  0.217  CfA3  KEP
SN2005kd  B	54163.13712  1  19.268  0.267  CfA3  KEP
SN2005kd  B	54166.10712  1  19.574  0.081  CfA3  KEP
SN2005kd  B	54169.13241  1  19.839  0.088  CfA3  KEP
SN2005kd  B	54178.13174  1  19.811  0.107  CfA3  KEP
SN2005kd  V	53689.32933  1  15.745  0.038  CfA3  KEP
SN2005kd  V	53689.37178  1  15.742  0.039  CfA3  KEP
SN2005kd  V	53690.39721  1  15.445  0.026  CfA3  KEP
SN2005kd  V	53690.41434  1  15.388  0.014  CfA3  KEP
SN2005kd  V	53691.41366  1  15.339  0.032  CfA3  KEP
SN2005kd  V	53692.41627  1  15.188  0.019  CfA3  KEP
SN2005kd  V	53692.43291  1  15.252  0.035  CfA3  KEP
SN2005kd  V	53693.42611  1  15.095  0.012  CfA3  KEP
SN2005kd  V	53694.41287  1  15.026  0.012  CfA3  KEP
SN2005kd  V	53695.42272  1  15.000  0.012  CfA3  KEP
SN2005kd  V	53696.41535  1  15.043  0.024  CfA3  KEP
SN2005kd  V	53711.18608  1  15.016  0.012  CfA3  KEP
SN2005kd  V	53713.29426  1  15.119  0.037  CfA3  KEP
SN2005kd  V	53714.18532  1  15.036  0.012  CfA3  KEP
SN2005kd  V	53724.31601  1  15.181  0.016  CfA3  KEP
SN2005kd  V	53730.35790  1  15.317  0.027  CfA3  KEP
SN2005kd  V	53764.28179  1  15.498  0.012  CfA3  KEP
SN2005kd  V	53766.32410  1  15.490  0.012  CfA3  KEP
SN2005kd  V	53781.24058  1  15.533  0.013  CfA3  KEP
SN2005kd  V	53786.20903  1  15.555  0.013  CfA3  KEP
SN2005kd  V	53787.10962  1  15.553  0.012  CfA3  KEP
SN2005kd  V	53800.13866  1  15.574  0.021  CfA3  KEP
SN2005kd  V	53805.16630  1  15.604  0.013  CfA3  KEP
SN2005kd  V	53807.16109  1  15.615  0.012  CfA3  KEP
SN2005kd  V	53827.14237  1  15.609  0.011  CfA3  KEP
SN2005kd  V	53834.12355  1  15.604  0.012  CfA3  KEP
SN2005kd  V	53997.44932  1  16.449  0.016  CfA3  KEP
SN2005kd  V	53998.48870  1  16.485  0.018  CfA3  KEP
SN2005kd  V	54007.44183  1  16.589  0.030  CfA3  KEP
SN2005kd  V	54008.47868  1  16.557  0.018  CfA3  KEP
SN2005kd  V	54009.42789  1  16.561  0.017  CfA3  KEP
SN2005kd  V	54011.41571  1  16.612  0.023  CfA3  KEP
SN2005kd  V	54015.35326  1  16.604  0.026  CfA3  KEP
SN2005kd  V	54015.37263  1  16.749  0.040  CfA3  KEP
SN2005kd  V	54015.39233  1  16.620  0.022  CfA3  KEP
SN2005kd  V	54015.41234  1  16.757  0.039  CfA3  KEP
SN2005kd  V	54016.37742  1  16.799  0.035  CfA3  KEP
SN2005kd  V	54041.33212  1  16.974  0.029  CfA3  KEP
SN2005kd  V	54044.30654  1  17.027  0.026  CfA3  KEP
SN2005kd  V	54045.26611  1  17.061  0.036  CfA3  KEP
SN2005kd  V	54046.36330  1  16.975  0.027  CfA3  KEP
