# based on SN2011fe
# The UV and optical spectra are from HST  with a blackbody extension. 
      16560.0  3.86678e-15
      16580.0  3.88308e-15
      16600.0  3.85885e-15
      16620.0  3.79404e-15
      16640.0  3.68035e-15
      16660.0  3.73022e-15
      16680.0  3.79976e-15
      16700.0  3.84388e-15
      16720.0  3.92125e-15
      16740.0  3.92195e-15
      16760.0  3.88598e-15
      16780.0  3.85315e-15
      16800.0  3.82222e-15
      16820.0  3.81905e-15
      16840.0  3.82858e-15
      16860.0  3.83839e-15
      16880.0  3.81188e-15
      16900.0  3.80763e-15
      16920.0  3.85163e-15
      16940.0  3.91546e-15
      16960.0  3.95336e-15
      16980.0  3.97015e-15
      17000.0  4.01781e-15
      17020.0  4.09790e-15
      17040.0  4.12146e-15
      17060.0  4.14535e-15
      17080.0  4.20504e-15
      17100.0  4.25143e-15
      17120.0  4.29835e-15
      17140.0  4.34383e-15
      17160.0  4.38429e-15
      17180.0  4.38763e-15
      17200.0  4.38178e-15
      17220.0  4.42226e-15
      17240.0  4.50007e-15
      17260.0  4.56873e-15
      17280.0  4.59167e-15
      17300.0  4.56826e-15
      17320.0  4.57828e-15
      17340.0  4.58604e-15
      17360.0  4.59298e-15
      17380.0  4.57334e-15
      17400.0  4.54444e-15
      17420.0  4.52575e-15
      17440.0  4.50789e-15
      17460.0  4.48327e-15
      17480.0  4.49524e-15
      17500.0  4.56742e-15
      17520.0  4.60234e-15
      17540.0  4.65682e-15
      17560.0  4.67680e-15
      17580.0  4.68582e-15
      17600.0  4.71208e-15
      17620.0  4.65171e-15
      17640.0  4.64758e-15
      17660.0  4.67320e-15
      17680.0  4.69792e-15
      17700.0  4.72313e-15
      17720.0  4.74384e-15
      17740.0  4.77371e-15
      17760.0  4.78989e-15
      17780.0  4.79809e-15
      17800.0  4.79968e-15
      17820.0  4.79925e-15
      17840.0  4.76811e-15
      17860.0  4.72253e-15
      17880.0  4.73771e-15
      17900.0  4.78482e-15
      17920.0  4.74470e-15
      17940.0  4.68059e-15
      17960.0  4.64078e-15
      17980.0  4.61055e-15
      18000.0  4.60907e-15
      18020.0  4.63628e-15
      18040.0  4.57247e-15
      18060.0  4.57154e-15
      18080.0  4.62317e-15
      18100.0  4.59447e-15
      18120.0  4.53745e-15
      18140.0  4.61747e-15
      18160.0  4.63792e-15
      18180.0  4.53089e-15
      18200.0  4.52921e-15
      18220.0  4.55082e-15
      18240.0  4.46691e-15
      18260.0  4.45759e-15
      18280.0  4.51607e-15
      18300.0  4.57822e-15
      18320.0  4.60562e-15
      18340.0  4.45658e-15
      18360.0  4.73174e-15
      18380.0  4.73794e-15
      18400.0  4.56984e-15
      18420.0  4.66845e-15
      18440.0  4.69564e-15
      18460.0  4.63817e-15
      18480.0  4.84236e-15
      18500.0  4.66606e-15
      18520.0  4.83613e-15
      18540.0  4.93364e-15
      18560.0  4.66569e-15
      18580.0  4.73509e-15
      18600.0  4.97369e-15
      18620.0  4.84044e-15
      18640.0  4.95360e-15
      18660.0  4.42766e-15
      18680.0  5.13645e-15
      18700.0  5.21009e-15
      18720.0  5.22625e-15
      18740.0  6.11377e-15
      18760.0  4.36387e-15
      18780.0  5.04675e-15
      18800.0  4.34683e-15
      18820.0  4.73005e-15
      18840.0  4.40213e-15
      18860.0  4.24281e-15
      18880.0  4.14806e-15
      18900.0  4.20776e-15
      18920.0  4.05510e-15
      18940.0  4.04653e-15
      18960.0  4.02270e-15
      18980.0  3.87898e-15
      19000.0  3.98235e-15
      19020.0  4.04805e-15
      19040.0  3.97314e-15
      19060.0  3.80300e-15
      19080.0  3.89541e-15
      19100.0  3.69076e-15
      19120.0  3.85288e-15
      19140.0  3.83107e-15
      19160.0  3.72981e-15
      19180.0  3.70607e-15
      19200.0  3.46673e-15
      19220.0  3.71145e-15
      19240.0  3.71966e-15
      19260.0  3.57277e-15
      19280.0  3.71615e-15
      19300.0  3.54730e-15
      19320.0  3.59258e-15
      19340.0  3.57153e-15
      19360.0  3.58625e-15
      19380.0  3.52446e-15
      19400.0  3.56728e-15
      19420.0  3.60277e-15
      19440.0  3.53008e-15
      19460.0  3.59283e-15
      19480.0  3.54018e-15
      19500.0  3.55790e-15
      19520.0  3.50750e-15
      19540.0  3.56167e-15
      19560.0  3.56306e-15
      19580.0  3.47781e-15
      19600.0  3.57123e-15
      19620.0  3.46308e-15
      19640.0  3.51032e-15
      19660.0  3.51001e-15
      19680.0  3.49169e-15
      19700.0  3.49212e-15
      19720.0  3.51560e-15
      19740.0  3.46489e-15
      19760.0  3.48136e-15
      19780.0  3.47052e-15
      19800.0  3.45648e-15
      19820.0  3.43282e-15
      19840.0  3.44616e-15
      19860.0  3.38920e-15
      19880.0  3.44795e-15
      19900.0  3.38634e-15
      19920.0  3.35461e-15
      19940.0  3.37182e-15
      19960.0  3.37073e-15
      19980.0  3.38732e-15
      20000.0  3.38051e-15
      20020.0  3.36976e-15
      20040.0  3.35144e-15
      20060.0  3.33064e-15
      20080.0  3.32224e-15
      20100.0  3.25422e-15
      20120.0  3.24196e-15
      20140.0  3.20977e-15
      20160.0  3.12637e-15
      20180.0  2.99529e-15
      20200.0  2.96063e-15
      20220.0  2.88383e-15
      20240.0  2.78840e-15
      20260.0  2.70502e-15
      20280.0  2.70684e-15
      20300.0  2.67766e-15
      20320.0  2.62417e-15
      20340.0  2.61037e-15
      20360.0  2.59076e-15
      20380.0  2.56637e-15
      20400.0  2.53897e-15
      20420.0  2.51881e-15
      20440.0  2.50931e-15
      20460.0  2.52294e-15
      20480.0  2.51275e-15
      20500.0  2.50783e-15
      20520.0  2.51529e-15
      20540.0  2.48399e-15
      20560.0  2.44788e-15
      20580.0  2.44619e-15
      20600.0  2.43840e-15
      20620.0  2.43584e-15
